Month,variable,value
Dec-10,BEV,19
Jan-11,BEV,103
Feb-11,BEV,83
Mar-11,BEV,298
Apr-11,BEV,573
May-11,BEV,1150
Jun-11,BEV,1708
Jul-11,BEV,932
Aug-11,BEV,1363
Sep-11,BEV,1031
Oct-11,BEV,866
Nov-11,BEV,773
Dec-11,BEV,1212
Jan-12,BEV,824
Feb-12,BEV,639
Mar-12,BEV,961
Apr-12,BEV,479
May-12,BEV,612
Jun-12,BEV,863
Jul-12,BEV,479
Aug-12,BEV,866
Sep-12,BEV,1306
Oct-12,BEV,2240
Nov-12,BEV,2614
Dec-12,BEV,2704
Jan-13,BEV,2372
Feb-13,BEV,2666
Mar-13,BEV,4553
Apr-13,BEV,4403
May-13,BEV,4545
Jun-13,BEV,4573
Jul-13,BEV,3943
Aug-13,BEV,4956
Sep-13,BEV,3650
Oct-13,BEV,3733
Nov-13,BEV,3930
Dec-13,BEV,4770
Jan-14,BEV,2971
Feb-14,BEV,3324
Mar-14,BEV,4578
Apr-14,BEV,4187
May-14,BEV,5802
Jun-14,BEV,4982
Jul-14,BEV,5693
Aug-14,BEV,6483
Sep-14,BEV,5983
Oct-14,BEV,5927
Nov-14,BEV,6176
Dec-14,BEV,7419
Jan-15,BEV,3977
Feb-15,BEV,4435
Mar-15,BEV,5715
Apr-15,BEV,6037
May-15,BEV,7057
Jun-15,BEV,6975
Jul-15,BEV,5143
Aug-15,BEV,5224
Sep-15,BEV,6704
Oct-15,BEV,5740
Nov-15,BEV,6103
Dec-15,BEV,7954
Jan-16,BEV,3576
Feb-16,BEV,4424
Mar-16,BEV,7115
Apr-16,BEV,6266
May-16,BEV,6526
Jun-16,BEV,7678
Jul-16,BEV,7762
Aug-16,BEV,8601
Sep-16,BEV,10032
Oct-16,BEV,5408
Nov-16,BEV,6266
Dec-16,BEV,13077
Jan-17,BEV,5398
Feb-17,BEV,5846
Mar-17,BEV,10171
Apr-17,BEV,5961
May-17,BEV,8038
Jun-17,BEV,8814
Jul-17,BEV,7802
Aug-17,BEV,8850
Sep-17,BEV,13421
Oct-17,BEV,6792
Nov-17,BEV,8435
Dec-17,BEV,14959
Jan-18,BEV,9154
Feb-18,BEV,6653
Mar-18,BEV,11060
Apr-18,BEV,12794
May-18,BEV,12232
Jun-18,BEV,12997
Jul-18,BEV,15387
Aug-18,BEV,20222
Sep-18,BEV,24163
Oct-18,BEV,29937
Nov-18,BEV,24089
Dec-18,BEV,28374
Jan-19,BEV,26942
Feb-19,BEV,10644
Mar-19,BEV,17281
Apr-19,BEV,20113
May-19,BEV,18012
Jun-19,BEV,23421
Jul-19,BEV,23559
Aug-19,BEV,18864
Sep-19,BEV,21812
Oct-19,BEV,23072
Nov-19,BEV,11421
Dec-19,BEV,18681
Jan-20,BEV,26391
Feb-20,BEV,11151
Mar-20,BEV,18234
Apr-20,BEV,8058
May-20,BEV,8626
Jun-20,BEV,16809
Jul-20,BEV,23075
Aug-20,BEV,17291
Sep-20,BEV,28101
Oct-20,BEV,29959
Nov-20,BEV,22225
Dec-20,BEV,28620
Jan-21,BEV,25103
Feb-21,BEV,26215
Mar-21,BEV,40755
Apr-21,BEV,33547
May-21,BEV,29796
Jun-21,BEV,45913
Jul-21,BEV,42013
Aug-21,BEV,35499
Sep-21,BEV,42020
Oct-21,BEV,42485
Nov-21,BEV,46687
Dec-21,BEV,49441
Jan-22,BEV,42780
Feb-22,BEV,46859
Mar-22,BEV,64160
Apr-22,BEV,52537
May-22,BEV,52502
Jun-22,BEV,59151
Jul-22,BEV,64161
Aug-22,BEV,60126
Sep-22,BEV,70056
Oct-22,BEV,69705
Nov-22,BEV,69924
Dec-22,BEV,79262
Jan-23,BEV,78382
Feb-23,BEV,80759
Mar-23,BEV,89648
Apr-23,BEV,91531
May-23,BEV,91699
Dec-10,PHEV,326
Jan-11,PHEV,321
Feb-11,PHEV,281
Mar-11,PHEV,608
Apr-11,PHEV,493
May-11,PHEV,481
Jun-11,PHEV,561
Jul-11,PHEV,125
Aug-11,PHEV,302
Sep-11,PHEV,723
Oct-11,PHEV,1108
Nov-11,PHEV,1139
Dec-11,PHEV,1529
Jan-12,PHEV,603
Feb-12,PHEV,1023
Mar-12,PHEV,3200
Apr-12,PHEV,3116
May-12,PHEV,2766
Jun-12,PHEV,2455
Jul-12,PHEV,2537
Aug-12,PHEV,3878
Sep-12,PHEV,4503
Oct-12,PHEV,4994
Nov-12,PHEV,4544
Dec-12,PHEV,4965
Jan-13,PHEV,2354
Feb-13,PHEV,2789
Mar-13,PHEV,3079
Apr-13,PHEV,2735
May-13,PHEV,3209
Jun-13,PHEV,4169
Jul-13,PHEV,3499
Aug-13,PHEV,6407
Sep-13,PHEV,4477
Oct-13,PHEV,6367
Nov-13,PHEV,4903
Dec-13,PHEV,5020
Jan-14,PHEV,2934
Feb-14,PHEV,3721
Mar-14,PHEV,4594
Apr-14,PHEV,4718
May-14,PHEV,6651
Jun-14,PHEV,6511
Jul-14,PHEV,5740
Aug-14,PHEV,5920
Sep-14,PHEV,3357
Oct-14,PHEV,3735
Nov-14,PHEV,3609
Dec-14,PHEV,3867
Jan-15,PHEV,2113
Feb-15,PHEV,2589
Mar-15,PHEV,3020
Apr-15,PHEV,2962
May-15,PHEV,4416
Jun-15,PHEV,3409
Jul-15,PHEV,3836
Aug-15,PHEV,3786
Sep-15,PHEV,3038
Oct-15,PHEV,4081
Nov-15,PHEV,4275
Dec-15,PHEV,5483
Jan-16,PHEV,3137
Feb-16,PHEV,3909
Mar-16,PHEV,5319
Apr-16,PHEV,5842
May-16,PHEV,5619
Jun-16,PHEV,6113
Jul-16,PHEV,6525
Aug-16,PHEV,6372
Sep-16,PHEV,6037
Oct-16,PHEV,5943
Nov-16,PHEV,7858
Dec-16,PHEV,10211
Jan-17,PHEV,5669
Feb-17,PHEV,6247
Mar-17,PHEV,7384
Apr-17,PHEV,7300
May-17,PHEV,8645
Jun-17,PHEV,7787
Jul-17,PHEV,7407
Aug-17,PHEV,7668
Sep-17,PHEV,7719
Oct-17,PHEV,6665
Nov-17,PHEV,8408
Dec-17,PHEV,10289
Jan-18,PHEV,6241
Feb-18,PHEV,8783
Mar-18,PHEV,11601
Apr-18,PHEV,9931
May-18,PHEV,11403
Jun-18,PHEV,10485
Jul-18,PHEV,9269
Aug-18,PHEV,10132
Sep-18,PHEV,10777
Oct-18,PHEV,9937
Nov-18,PHEV,11580
